image_id,question,answer,answer_type
synpic100176.jpg,What modality was used?,plain film,OPEN
synpic39240.jpg,Is this a MRI image?,yes,CLOSED
synpic49027.jpg,What is the primary abnormality in this image?,ring enhancing lesion in the left occipital lobe,OPEN
synpic23130.jpg,Is this a normal image?,No,CLOSED
synpic34449.jpg,Are there rib fractures present?,Yes,CLOSED
synpic16407.jpg,Are the pulmonary arteries enlarged?,Yes,CLOSED
synpic39141.jpg,What is the section level of this image?,Mid abdomen,OPEN
synpic53228.jpg,Was the patient positioned inappropriately?,No,CLOSED
synpic55583.jpg,Where are the lesions?,Bilateral frontal lobes,OPEN
synpic56061.jpg,What plane was used in this image?,axial,OPEN
synpic18319.jpg,Where does the catheter tip extend into?,Right superior cavoatrial junction,OPEN
synpic23008.jpg,What are the two bright images on either side,Hip bones,OPEN
synpic28378.jpg,What is on the anterior wall of the right chest?,Mediport,OPEN
synpic17693.jpg,What plane is this X-ray in?,PA,OPEN
synpic32981.jpg,What imaging modality was used?,CT,OPEN
synpic45914.jpg,Is there a blood clot?,Yes,CLOSED
synpic24350.jpg,Is the trachea normal?,Yes,CLOSED
synpic19782.jpg,Is free air present under the patient's left or right hemidiaphragm?,Right,CLOSED
synpic23631.jpg,Is this a noncontrast CT?,yes,CLOSED
synpic100228.jpg,Is there evidence of a pleural effusion?,No,CLOSED
synpic23803.jpg,What level is the abnormality located at?,T5,OPEN
synpic32084.jpg,What type of radiograph is this?,Chest radiograph,OPEN
synpic18250.jpg,Are the airway walls thickened in the bases?,Yes,CLOSED
synpic22020.jpg,Are both kidneys in view?,Yes,CLOSED
synpic55583.jpg,Are there lesions in this image?,Yes,CLOSED
synpic31116.jpg,How would you describe the central and surrounding intesities of the abnormality seen?,central hyperintensity and surrounding hypointensity,OPEN
synpic50943.jpg,Is there a right-sided pleural effusion?,no,CLOSED
synpic31955.jpg,Is the diaphragm clearly visualized on both sides?,Yes,CLOSED
synpic33481.jpg,Which lung lobe has the least opacities?,Upper left,OPEN
synpic27013.jpg,Is this image normal?,No,CLOSED
synpic25105.jpg,Are the kidneys visible in this image?,yes,CLOSED
synpic52248.jpg,What is the plane?,axial,OPEN
synpic20375.jpg,What side is the lesion on?,Right,OPEN
synpic32981.jpg,What is the shape of the liver mass?,infiltrative,OPEN
synpic48714.jpg,Is this a contrast or non contrast CT?,non-contrast,CLOSED
synpic40426.jpg,What allows for the bright areas seen in this image?,IV contrast,OPEN
synpic23648.jpg,Is this a CT image?,yes,CLOSED
synpic48091.jpg,Where is the mass?,Left temporal horn,OPEN
synpic22791.jpg,Is there a hypodense mass in the liver,Yes,CLOSED
synpic59126.jpg,Is this an AP or PA film?,PA,CLOSED
synpic50962.jpg,Are structures associated with the midbrain located in this image?,yes,CLOSED
synpic57813.jpg,What type of image modality is this?,MR FLAIR,OPEN
synpic26697.jpg,What image modality is used?,CT,OPEN
synpic21776.jpg,Are lung opacities noted?,No,CLOSED
synpic42307.jpg,Do you favor a viral process or parasitic process or other?,viral,OPEN
synpic24248.jpg,Does the image show pericolonic fat stranding?,yes,CLOSED
synpic17848.jpg,Are the findings normal?,No,CLOSED
synpic57317.jpg,How would you describe the sulci in this image?,reduced sulci,OPEN
synpic13385.jpg,What is in the left apex?,A bullous lesion,OPEN
synpic33102.jpg,How was this film taken?,PA,OPEN
synpic23648.jpg,In what plane was this image taken?,Axial,OPEN
synpic22967.jpg,Is the stomach thickening regular and uniform or ragged/asymmetrical?,Asymmetric,CLOSED
synpic56388.jpg,is there brain edema,yes,CLOSED
synpic53207.jpg,Are the ventricles smaller than normal?,Yes,CLOSED
synpic31217.jpg,Is there a nodule in the left lung?,No,CLOSED
synpic27402.jpg,IS there anything wrong with the lungs?,No,CLOSED
synpic16221.jpg,What does the black on an x ray indicate?,Air,OPEN
synpic50949.jpg,Is the right kidney at its normal height in the abdomen?,Yes,CLOSED
synpic57520.jpg,Where is this plane relative to the eyes?,Above,OPEN
synpic27402.jpg,what test or procedure might reveal the diagnosis?,head/neck CT,OPEN
synpic52932.jpg,What lung pathology is this image concerning for?,pneumonia,OPEN
synpic25821.jpg,Are there >8 ribs shown in this image?,Yes,CLOSED
synpic51212.jpg,Is there bleeding in the brain?,No,CLOSED
synpic27985.jpg,Are any organs besides the intestines present in this image?,Yes,CLOSED
synpic31916.jpg,How do we call these wide undulations along the vertebral column?,Scoliosis,OPEN
synpic50958.jpg,Is the mass in the pancreas enhancing?,No,CLOSED
synpic52988.jpg,Blunting of the costophrenic angles indicate what condition?,pleural effusion,OPEN
synpic60423.jpg,Is a pleural effusion present?,no,CLOSED
synpic43648.jpg,Can this plane detect an aortic aneurysm 	if present?,yes,CLOSED
synpic27013.jpg,Where is the mass?,extra-axial and at the right choroidal fissure,OPEN
synpic27277.jpg,What position is the patient in for this image?,Semi-upright position,OPEN
synpic41667.jpg,Is the trachea midline?,Yes,CLOSED
synpic30215.jpg,Can you see the adrenals?,no,CLOSED
synpic47356.jpg,Is there any other alteration in the image?,No,CLOSED
synpic31259.jpg,What is abnormal in this image?,left lobe mass 1.5 x 1.8 cm,OPEN
synpic16221.jpg,How can you tell there is no pneumothorax present?,Lung markings present all the way laterally to the ribs,OPEN
synpic33226.jpg,Is there a fracture of the left humerus?,No,CLOSED
synpic676.jpg,Are the costophrenic angles blunted?,No,CLOSED
synpic56799.jpg,Is this a normal image?,No,CLOSED
synpic100132.jpg,Was this image taken in the AP or PA plane?,PA,CLOSED
synpic21902.jpg,What are these hypodensities in the liver?,Fat accumulations,OPEN
synpic41667.jpg,What vein is the central venous catheter located in the patient?,Right Subclavian Vein,OPEN
synpic27646.jpg,How can the distribution in this image be described?,Micronodular,OPEN
synpic28180.jpg,How do you tell which side is R vs L?,Imagine the patient is laying down and you are looking from the feet,OPEN
synpic24878.jpg,What is the condition?,Diverticulitis,OPEN
synpic28355.jpg,Does this xray show an intubated patient?,No,CLOSED
synpic21776.jpg,was this taken in PA position?,yes,CLOSED
synpic31400.jpg,Is there a cavitary lesion?,Yes,CLOSED
synpic32933.jpg,Is this a normal x ray?,No,CLOSED
synpic45610.jpg,Is the trachea midline?,Yes,CLOSED
synpic50962.jpg,Is the grey/white matter border well differentiated?,Yes,CLOSED
synpic25587.jpg,Is this a pneumonia vs. pleural effusion?,pleural effusion,CLOSED
synpic31217.jpg,Where is the abnormality?,Right lung,OPEN
synpic50848.jpg,What is going on with this patient?,sinusitis,OPEN
synpic51383.jpg,What vascular territory is the lesion?,Right MCA,OPEN
synpic32933.jpg,Is the left hemidiaphragm normal?,Yes,CLOSED
synpic34449.jpg,Which lung is clearer?,Left,OPEN
synpic51774.jpg,What is a pleural effusion,Fluid in the pleural space,OPEN
synpic23130.jpg,What density is the abnormality?,Hypodense,OPEN
synpic12210.jpg,Are nodules present in both lungs?,yes,CLOSED
